Temperature (Celsius),Resistance (ohms),Sensitivity (ohms-per-degree)
-200,18.5201,0.4323
-199.9,18.5633,0.4323
-199.8,18.6065,0.4323
-199.70000000000002,18.6498,0.4322
-199.60000000000002,18.6930,0.4322
-199.50000000000003,18.7362,0.4322
-199.40000000000003,18.7794,0.4321
-199.30000000000004,18.8226,0.4321
-199.20000000000005,18.8658,0.4320
-199.10000000000005,18.9090,0.4320
-199.00000000000006,18.9522,0.4320
-198.90000000000006,18.9954,0.4319
-198.80000000000007,19.0386,0.4319
-198.70000000000007,19.0818,0.4319
-198.60000000000008,19.1250,0.4318
-198.50000000000009,19.1682,0.4318
-198.4000000000001,19.2113,0.4318
-198.3000000000001,19.2545,0.4317
-198.2000000000001,19.2977,0.4317
-198.1000000000001,19.3409,0.4316
-198.0000000000001,19.3840,0.4316
-197.90000000000012,19.4272,0.4316
-197.80000000000013,19.4703,0.4315
-197.70000000000013,19.5135,0.4315
-197.60000000000014,19.5566,0.4315
-197.50000000000014,19.5998,0.4314
-197.40000000000015,19.6429,0.4314
-197.30000000000015,19.6861,0.4314
-197.20000000000016,19.7292,0.4313
-197.10000000000016,19.7723,0.4313
-197.00000000000017,19.8154,0.4312
-196.90000000000018,19.8586,0.4312
-196.80000000000018,19.9017,0.4312
-196.7000000000002,19.9448,0.4311
-196.6000000000002,19.9879,0.4311
-196.5000000000002,20.0310,0.4311
-196.4000000000002,20.0741,0.4310
-196.3000000000002,20.1172,0.4310
-196.20000000000022,20.1603,0.4310
-196.10000000000022,20.2034,0.4309
-196.00000000000023,20.2465,0.4309
-195.90000000000023,20.2896,0.4309
-195.80000000000024,20.3327,0.4308
-195.70000000000024,20.3758,0.4308
-195.60000000000025,20.4188,0.4307
-195.50000000000026,20.4619,0.4307
-195.40000000000026,20.5050,0.4307
-195.30000000000027,20.5480,0.4306
-195.20000000000027,20.5911,0.4306
-195.10000000000028,20.6342,0.4306
-195.00000000000028,20.6772,0.4305
-194.9000000000003,20.7203,0.4305
-194.8000000000003,20.7633,0.4305
-194.7000000000003,20.8064,0.4304
-194.6000000000003,20.8494,0.4304
-194.5000000000003,20.8924,0.4304
-194.40000000000032,20.9355,0.4303
-194.30000000000032,20.9785,0.4303
-194.20000000000033,21.0215,0.4302
-194.10000000000034,21.0646,0.4302
-194.00000000000034,21.1076,0.4302
-193.90000000000035,21.1506,0.4301
-193.80000000000035,21.1936,0.4301
-193.70000000000036,21.2366,0.4301
-193.60000000000036,21.2796,0.4300
-193.50000000000037,21.3226,0.4300
-193.40000000000038,21.3656,0.4300
-193.30000000000038,21.4086,0.4299
-193.2000000000004,21.4516,0.4299
-193.1000000000004,21.4946,0.4299
-193.0000000000004,21.5376,0.4298
-192.9000000000004,21.5806,0.4298
-192.8000000000004,21.6235,0.4298
-192.70000000000041,21.6665,0.4297
-192.60000000000042,21.7095,0.4297
-192.50000000000043,21.7524,0.4296
-192.40000000000043,21.7954,0.4296
-192.30000000000044,21.8384,0.4296
-192.20000000000044,21.8813,0.4295
-192.10000000000045,21.9243,0.4295
-192.00000000000045,21.9672,0.4295
-191.90000000000046,22.0102,0.4294
-191.80000000000047,22.0531,0.4294
-191.70000000000047,22.0961,0.4294
-191.60000000000048,22.1390,0.4293
-191.50000000000048,22.1819,0.4293
-191.4000000000005,22.2248,0.4293
-191.3000000000005,22.2678,0.4292
-191.2000000000005,22.3107,0.4292
-191.1000000000005,22.3536,0.4292
-191.0000000000005,22.3965,0.4291
-190.90000000000052,22.4394,0.4291
-190.80000000000052,22.4823,0.4291
-190.70000000000053,22.5252,0.4290
-190.60000000000053,22.5681,0.4290
-190.50000000000054,22.6110,0.4290
-190.40000000000055,22.6539,0.4289
-190.30000000000055,22.6968,0.4289
